POS	pi	h	depth
11103	0.1910007468259894	0.33757742929488344	104
11179	0.29655684799517085	0.47180584764646966	294
11287	0.5013122254501564	0.6931331831261411	378
11291	0.5454545454545454	0.6931471805599453	12
11296	0	NA	2
11540	0.27061672126477715	0.43911207123781926	119
11628	0.15438596491228082	0.2868359830561607	96
11674	0.19603960396039602	0.34423221653922054	101
11727	0	NA	164
11845	0.2040803224310731	0.35703548934639956	530
11888	0.06995196988381915	0.15573031220938657	497
11905	0.3396396396396396	0.5220770639132397	481
11990	0.43164622244273115	0.6223258815178758	554
12132	0.41196013289036554	0.5920726008913406	43
12505	0.2437318949155929	0.4064945721890275	142
12625	0.1310408296110075	0.2542441058382149	299
12789	0.007575757575757588	0.02490171502983102	264
12815	0	NA	19
12880	0	NA	30
13225	0.34139402560455184	0.5146531654289292	38
13339	0	NA	63
13422	0.16249271986022146	0.2984358127031066	102
13432	0.09595959595959605	0.1985152433458726	100
14432	0.2992673992673993	0.4728345589007231	105
14700	0	NA	42
14703	0.4343891402714932	0.6172417697303416	52
14720	0.3787878787878789	0.5538582294924286	33
15004	0.12508591065292088	0.24493002679463532	195
15032	0.18973656159585817	0.3370613918391505	199
15517	0.342296918767507	0.5226565800992218	120
15965	0.17254901960784313	0.31196243512358296	85
15983	0.19570966794005284	0.3432281006503987	83
16067	0.14071996259934555	0.2670592940006876	93
16515	0.4668693009118541	0.7879863181674017	141
16516	0.2786885245901639	0.4461368445195232	61
16549	0.1801324503311257	0.32362541643984993	151
16630	0.34343036978756886	0.5240351115974158	124
16816	0.4188260179799047	0.6024402635203422	62
16907	0.12147335423197501	0.23958875643004762	232
17334	0	NA	61
17410	0.019511252776972726	NA	204
18163	0	NA	31
18492	0	NA	14
18894	0.043478260869565286	0.10473243910508653	46
19750	0.27428571428571447	0.439669879401343	50
19955	0	NA	53
20055	0	NA	20
20405	0.3427835051546392	0.5224356686688154	97
20445	0.37837837837837834	0.5623351446188083	112
21066	0.2787878787878789	0.44565090460475565	55
21101	0.46588235294117636	0.649248354870898	51
21440	0.5	0.6615632381579821	16
21609	0.512091038406828	0.6917614988524178	38
21618	0	NA	19
21622	0	NA	19
21624	0	NA	18
21632	0.5128205128205128	0.6931471805599453	40
21653	0.5135135135135135	0.6931471805599453	38
21711	0	NA	19
21764	0.5116279069767442	0.6931471805599453	44
21875	0.4372670807453416	0.6224869206570487	70
21940	0.37265577737447075	0.5526646224944003	58
21941	0	NA	30
21979	0.33834586466165406	0.5146531654289292	57
21987	0.20814479638009054	0.3576271598532216	52
21990	0.5057067603160668	0.6914160776171183	68
22000	0.37692307692307686	0.5580701289224494	65
22032	0.14223512336719873	0.2675679125728715	53
22033	0.17722473604826552	0.3165489716094417	52
22034	0.3159183673469389	0.5859660371031605	50
22120	0.29647058823529415	0.4659992569610426	51
22193	0.5058823529411764	0.6931471805599453	86
22200	0	NA	49
22208	0	NA	50
22218	0.40106951871657737	0.5779217946828968	34
22295	0	NA	61
23222	0	NA	18
23271	0	NA	42
23334	0.3846153846153846	0.5623351446188083	40
23403	0	NA	75
23423	0	NA	92
23486	0.3663157894736842	0.5474124685254984	76
23512	0.15721899224806207	0.2914586548443813	129
23525	0.12373649355176017	0.24260885565338502	152
23550	0.19036954087346022	0.336495757583516	95
23599	0	NA	199
23604	0.009803921568627456	0.030959142150673094	204
23854	0.043478260869565286	0.10473243910508653	46
23887	0.3826035850719953	0.5656200889413262	83
23948	0	NA	14
24424	0.02985074626865691	0.07757003769329317	67
24469	0.03125	0.08048483706800685	64
24611	0.3697297297297298	0.5510799280869728	75
24672	0.3077477477477477	0.48135333581383566	75
24871	0.3780487804878047	0.5555365967291861	41
24872	0.2371541501976284	0.38721237518636065	23
24990	0	NA	18
25000	0	NA	20
25191	0.13530927835051537	0.2592033354816194	97
25207	0	NA	99
25262	0.3367973547472838	0.5170258127986563	146
25555	0.331007964844823	0.5119080768797268	331
25572	0.21796955814984476	0.37435483459292374	202
25584	0	NA	239
25587	0.2661147250147843	0.4351710761384668	267
25797	0.24531024531024542	0.4075222802730696	99
25963	0.4136449905104384	0.6010127834051774	142
25982	0.3628982528263104	0.5460893167820342	140
26060	0	NA	92
26196	0.08290263096382094	0.17787687652017672	278
26270	0	NA	266
26299	0.34129817815618413	0.6123043222295206	331
26610	0.19999999999999993	0.3250829733914482	10
26681	0	NA	6
26709	0	NA	12
27259	0	NA	22
27382	0	NA	6
27383	0	NA	7
27384	0	NA	5
27807	0	NA	13
27810	0	NA	16
27906	0.12931034482758616	0.2509548043576197	145
27935	0.14877629884070417	0.2794818873122979	137
28022	0.4567561133217699	0.6473191716535622	243
28147	0.17010309278350513	0.30893096953319577	97
28271	0.01851851851851866	0.05256932631473862	108
28311	0	NA	124
28651	0.19185682326621922	0.3394889424345316	150
28698	0.16180645161290322	0.29788596836026465	125
28881	0	NA	28
28882	0.20512820512820512	0.34883209584303193	27
28883	0.23225806451612915	0.38454291975622856	31
28958	0	NA	23
